Algorithm,Function,Value
TeachingLearningBasedOptimization,ackley,6.327838363493655

DifferentialEvolution,sphere,49.75646447577563
DifferentialEvolution,schwefel,11944.906923595714
DifferentialEvolution,rosenbrock,315170.80997208523
DifferentialEvolution,rastrigin,291.3179368719829
DifferentialEvolution,griewank,2.037336231773101
DifferentialEvolution,levy,87.68095104648162
DifferentialEvolution,michalewicz,-9.073653787802218
DifferentialEvolution,zakharov,969.9601969818875
DifferentialEvolution,ackley,18.868032977208014
FireflyAlgorithm,sphere,161.08261879658647
FireflyAlgorithm,schwefel,12395.216505188564
FireflyAlgorithm,rosenbrock,3050321.061485712
FireflyAlgorithm,rastrigin,392.1927009648351
FireflyAlgorithm,griewank,5.6494855274374896
FireflyAlgorithm,levy,225.83860601356582
FireflyAlgorithm,michalewicz,-7.45336761696226
FireflyAlgorithm,zakharov,1896.305942957535
FireflyAlgorithm,ackley,20.483224463978924
ParticleSwarmOptimization,sphere,3.7427907510816802
ParticleSwarmOptimization,schwefel,11751.489906703955
ParticleSwarmOptimization,rosenbrock,2230.4818692789727
ParticleSwarmOptimization,rastrigin,138.475243212087
ParticleSwarmOptimization,griewank,1.0562547592524625
ParticleSwarmOptimization,levy,17.336868519734768
ParticleSwarmOptimization,michalewicz,-13.9165368258456
ParticleSwarmOptimization,zakharov,518.9509076366303
ParticleSwarmOptimization,ackley,10.547006521296165
SelfOrganizingMigrationAlgorithm,sphere,30.976434945511766
SelfOrganizingMigrationAlgorithm,schwefel,11968.467871761017
SelfOrganizingMigrationAlgorithm,rosenbrock,155724.9271060544
SelfOrganizingMigrationAlgorithm,rastrigin,151.77885806168672
SelfOrganizingMigrationAlgorithm,griewank,1.7485424411367982
SelfOrganizingMigrationAlgorithm,levy,35.97526812768716
SelfOrganizingMigrationAlgorithm,michalewicz,-17.20431304007559
SelfOrganizingMigrationAlgorithm,zakharov,389.1982458715564
SelfOrganizingMigrationAlgorithm,ackley,15.174960758063031
TeachingLearningBasedOptimization,sphere,1.028980081411523
TeachingLearningBasedOptimization,schwefel,12049.64084504092
TeachingLearningBasedOptimization,rosenbrock,882.156100674805
TeachingLearningBasedOptimization,rastrigin,234.076524896078
TeachingLearningBasedOptimization,griewank,1.0439632772998069
TeachingLearningBasedOptimization,levy,4.007212311613161
TeachingLearningBasedOptimization,michalewicz,-8.820348277105687
TeachingLearningBasedOptimization,zakharov,628.5658591114774
TeachingLearningBasedOptimization,ackley,6.455438297955222

DifferentialEvolution,sphere,62.49356975548567
DifferentialEvolution,schwefel,11858.110397630036
DifferentialEvolution,rosenbrock,374678.0722310736
DifferentialEvolution,rastrigin,248.53726414472314
DifferentialEvolution,griewank,2.3478481365016526
DifferentialEvolution,levy,50.77289367460754
DifferentialEvolution,michalewicz,-9.211404704405313
DifferentialEvolution,zakharov,1064.989142400811
DifferentialEvolution,ackley,18.74438474305243
FireflyAlgorithm,sphere,183.76089322782317
FireflyAlgorithm,schwefel,12445.785085020854
FireflyAlgorithm,rosenbrock,3336673.8753201943
FireflyAlgorithm,rastrigin,420.3325251572697
FireflyAlgorithm,griewank,5.239576331492002
FireflyAlgorithm,levy,187.91855849179353
FireflyAlgorithm,michalewicz,-8.437140580613466
FireflyAlgorithm,zakharov,1041.7203581056754
FireflyAlgorithm,ackley,20.744865022389487
ParticleSwarmOptimization,sphere,3.890942036776137
ParticleSwarmOptimization,schwefel,11808.441528446372
ParticleSwarmOptimization,rosenbrock,7001.986588986642
ParticleSwarmOptimization,rastrigin,184.22707979175084
ParticleSwarmOptimization,griewank,1.0851492433276442
ParticleSwarmOptimization,levy,8.116176100704427
ParticleSwarmOptimization,michalewicz,-14.636880219922746
ParticleSwarmOptimization,zakharov,463.771041100051
ParticleSwarmOptimization,ackley,7.112519123343583
SelfOrganizingMigrationAlgorithm,sphere,24.10470250970679
SelfOrganizingMigrationAlgorithm,schwefel,11952.599440134481
SelfOrganizingMigrationAlgorithm,rosenbrock,88103.03190892807
SelfOrganizingMigrationAlgorithm,rastrigin,117.66059006617965
SelfOrganizingMigrationAlgorithm,griewank,1.8328830005397951
SelfOrganizingMigrationAlgorithm,levy,18.104405267543502
SelfOrganizingMigrationAlgorithm,michalewicz,-19.14120801022677
SelfOrganizingMigrationAlgorithm,zakharov,314.4950465196117
SelfOrganizingMigrationAlgorithm,ackley,16.51932800978442
TeachingLearningBasedOptimization,sphere,1.6882258659747935
TeachingLearningBasedOptimization,schwefel,12025.606604483115
TeachingLearningBasedOptimization,rosenbrock,738.3357802630104
TeachingLearningBasedOptimization,rastrigin,208.57218947301908
TeachingLearningBasedOptimization,griewank,1.030597628455313
TeachingLearningBasedOptimization,levy,2.5251352131658047
TeachingLearningBasedOptimization,michalewicz,-9.102820676846653
TeachingLearningBasedOptimization,zakharov,528.4233577838771
TeachingLearningBasedOptimization,ackley,6.068406252794066

DifferentialEvolution,sphere,41.526142870279
DifferentialEvolution,schwefel,11889.432342305307
DifferentialEvolution,rosenbrock,400843.76792289375
DifferentialEvolution,rastrigin,321.1444265970265
DifferentialEvolution,griewank,2.139405773748994
DifferentialEvolution,levy,75.65332329509161
DifferentialEvolution,michalewicz,-9.564441123979329
DifferentialEvolution,zakharov,744.1192875939589
DifferentialEvolution,ackley,17.95110523683792
FireflyAlgorithm,sphere,180.68491671416015
FireflyAlgorithm,schwefel,12420.3009102446
FireflyAlgorithm,rosenbrock,3322613.7159318165
FireflyAlgorithm,rastrigin,407.3009675597665
FireflyAlgorithm,griewank,5.524031433455521
FireflyAlgorithm,levy,233.30031788980392
FireflyAlgorithm,michalewicz,-7.770207721295115
FireflyAlgorithm,zakharov,2926.5716909100543
FireflyAlgorithm,ackley,20.749070890253417
ParticleSwarmOptimization,sphere,3.346896551797782
ParticleSwarmOptimization,schwefel,11891.082632343183
ParticleSwarmOptimization,rosenbrock,2567.4107177259957
ParticleSwarmOptimization,rastrigin,200.33283492898894
ParticleSwarmOptimization,griewank,1.0433201138268107
ParticleSwarmOptimization,levy,18.779371951423844
ParticleSwarmOptimization,michalewicz,-10.716740320324012
ParticleSwarmOptimization,zakharov,593.2872090482819
ParticleSwarmOptimization,ackley,8.789798511040937
SelfOrganizingMigrationAlgorithm,sphere,26.79184794378966
SelfOrganizingMigrationAlgorithm,schwefel,12021.369651794002
SelfOrganizingMigrationAlgorithm,rosenbrock,95760.6548340425
SelfOrganizingMigrationAlgorithm,rastrigin,140.74239583234916
SelfOrganizingMigrationAlgorithm,griewank,1.5876915849205204
SelfOrganizingMigrationAlgorithm,levy,19.337899840152094
SelfOrganizingMigrationAlgorithm,michalewicz,-18.47187562754355
SelfOrganizingMigrationAlgorithm,zakharov,231.49842594905928
SelfOrganizingMigrationAlgorithm,ackley,16.998730120767625
TeachingLearningBasedOptimization,sphere,1.8382445646650787
TeachingLearningBasedOptimization,schwefel,12037.422473024015
TeachingLearningBasedOptimization,rosenbrock,1134.0738437532345
TeachingLearningBasedOptimization,rastrigin,224.97184268508937
TeachingLearningBasedOptimization,griewank,1.02268605923228
TeachingLearningBasedOptimization,levy,3.445152667107772
TeachingLearningBasedOptimization,michalewicz,-9.926288226062583
TeachingLearningBasedOptimization,zakharov,465.14125950627823
TeachingLearningBasedOptimization,ackley,6.461200752544741

DifferentialEvolution,sphere,35.64840572503843
DifferentialEvolution,schwefel,11991.807350662444
DifferentialEvolution,rosenbrock,400079.3731389451
DifferentialEvolution,rastrigin,297.094270380412
DifferentialEvolution,griewank,2.135141219613354
DifferentialEvolution,levy,85.0159892838701
DifferentialEvolution,michalewicz,-9.233915937751924
DifferentialEvolution,zakharov,768.3029257573498
DifferentialEvolution,ackley,18.609034763894744
FireflyAlgorithm,sphere,154.16489644800572
FireflyAlgorithm,schwefel,12485.052010133444
FireflyAlgorithm,rosenbrock,4100004.1472668597
FireflyAlgorithm,rastrigin,403.20284302744096
FireflyAlgorithm,griewank,5.631251942330603
FireflyAlgorithm,levy,203.3565217378627
FireflyAlgorithm,michalewicz,-8.272374323869071
FireflyAlgorithm,zakharov,4672.973884218723
FireflyAlgorithm,ackley,20.75135688371424
ParticleSwarmOptimization,sphere,3.7378904045462185
ParticleSwarmOptimization,schwefel,11856.329376622962
ParticleSwarmOptimization,rosenbrock,14001.819618623334
ParticleSwarmOptimization,rastrigin,155.57989737884256
ParticleSwarmOptimization,griewank,1.057902438762772
ParticleSwarmOptimization,levy,25.392700049537005
ParticleSwarmOptimization,michalewicz,-11.088278107853304
ParticleSwarmOptimization,zakharov,537.7595641926343
ParticleSwarmOptimization,ackley,18.10519642798779
SelfOrganizingMigrationAlgorithm,sphere,35.89073259053974
SelfOrganizingMigrationAlgorithm,schwefel,12014.840088092567
SelfOrganizingMigrationAlgorithm,rosenbrock,134303.79985628367
SelfOrganizingMigrationAlgorithm,rastrigin,100.24536829522455
SelfOrganizingMigrationAlgorithm,griewank,1.6493970268084528
SelfOrganizingMigrationAlgorithm,levy,23.204103442069833
SelfOrganizingMigrationAlgorithm,michalewicz,-17.92021190370121
SelfOrganizingMigrationAlgorithm,zakharov,295.3081929419941
SelfOrganizingMigrationAlgorithm,ackley,14.20179989841887
TeachingLearningBasedOptimization,sphere,1.127291301988743
TeachingLearningBasedOptimization,schwefel,12164.15163040702
TeachingLearningBasedOptimization,rosenbrock,481.94218246102497
TeachingLearningBasedOptimization,rastrigin,235.59136200521317
TeachingLearningBasedOptimization,griewank,1.0283845792978803
TeachingLearningBasedOptimization,levy,2.9561575094138623
TeachingLearningBasedOptimization,michalewicz,-8.92791348734345
TeachingLearningBasedOptimization,zakharov,437.3420389746756
TeachingLearningBasedOptimization,ackley,6.471812032762916

DifferentialEvolution,sphere,47.45084773226694
DifferentialEvolution,schwefel,11899.992809543743
DifferentialEvolution,rosenbrock,555331.0878397144
DifferentialEvolution,rastrigin,317.9388750219968
DifferentialEvolution,griewank,1.8904772299658572
DifferentialEvolution,levy,71.62880630320763
DifferentialEvolution,michalewicz,-10.536957139121279
DifferentialEvolution,zakharov,880.8729077538253
DifferentialEvolution,ackley,18.934273633795986
FireflyAlgorithm,sphere,192.070311937856
FireflyAlgorithm,schwefel,12410.077469303289
FireflyAlgorithm,rosenbrock,2383069.204110837
FireflyAlgorithm,rastrigin,406.4647104547228
FireflyAlgorithm,griewank,5.6252422867957925
FireflyAlgorithm,levy,234.41343265865973
FireflyAlgorithm,michalewicz,-8.413974705658163
FireflyAlgorithm,zakharov,783.3028029114427
FireflyAlgorithm,ackley,20.59765493496787
ParticleSwarmOptimization,sphere,2.408355173231447
ParticleSwarmOptimization,schwefel,11786.129543053534
ParticleSwarmOptimization,rosenbrock,7171.020336222913
ParticleSwarmOptimization,rastrigin,148.21124557270653
ParticleSwarmOptimization,griewank,1.0237870365216137
ParticleSwarmOptimization,levy,10.572233133677482
ParticleSwarmOptimization,michalewicz,-14.867083400963965
ParticleSwarmOptimization,zakharov,707.5551898003841
ParticleSwarmOptimization,ackley,9.522346547736717
SelfOrganizingMigrationAlgorithm,sphere,35.51519136792931
SelfOrganizingMigrationAlgorithm,schwefel,11968.35571337269
SelfOrganizingMigrationAlgorithm,rosenbrock,156502.58884219296
SelfOrganizingMigrationAlgorithm,rastrigin,155.427282236376
SelfOrganizingMigrationAlgorithm,griewank,1.607246929734093
SelfOrganizingMigrationAlgorithm,levy,18.531486423594036
SelfOrganizingMigrationAlgorithm,michalewicz,-17.244117063100447
SelfOrganizingMigrationAlgorithm,zakharov,393.86124075758
SelfOrganizingMigrationAlgorithm,ackley,13.753585092805992
TeachingLearningBasedOptimization,sphere,1.3002369838213714
TeachingLearningBasedOptimization,schwefel,11939.450150135477
TeachingLearningBasedOptimization,rosenbrock,1596.7524789998686
TeachingLearningBasedOptimization,rastrigin,197.29230985741486
TeachingLearningBasedOptimization,griewank,1.0369489197597284
TeachingLearningBasedOptimization,levy,2.9371543736444576
TeachingLearningBasedOptimization,michalewicz,-9.675233555250335
TeachingLearningBasedOptimization,zakharov,482.7781026246746
TeachingLearningBasedOptimization,ackley,6.7095093337813445

DifferentialEvolution,sphere,47.83115686872277
DifferentialEvolution,schwefel,11869.919212912962
DifferentialEvolution,rosenbrock,388589.6620032885
DifferentialEvolution,rastrigin,298.7095282387619
DifferentialEvolution,griewank,2.088290188526173
DifferentialEvolution,levy,79.04425993025438
DifferentialEvolution,michalewicz,-9.957934642222426
DifferentialEvolution,zakharov,817.7782218704065
DifferentialEvolution,ackley,18.030967338683915
FireflyAlgorithm,sphere,191.84615887160916
FireflyAlgorithm,schwefel,12300.92980201509
FireflyAlgorithm,rosenbrock,2531009.2055506855
FireflyAlgorithm,rastrigin,390.0066040167813
FireflyAlgorithm,griewank,5.630817327908381
FireflyAlgorithm,levy,237.61907435154257
FireflyAlgorithm,michalewicz,-8.208858374553806
FireflyAlgorithm,zakharov,1188.1078521624188
FireflyAlgorithm,ackley,20.772398841382834
ParticleSwarmOptimization,sphere,2.730975527113747
ParticleSwarmOptimization,schwefel,11768.616441736069
ParticleSwarmOptimization,rosenbrock,2310.237962052946
ParticleSwarmOptimization,rastrigin,201.25242968061715
ParticleSwarmOptimization,griewank,1.0726635730017264
ParticleSwarmOptimization,levy,9.795490607895882
ParticleSwarmOptimization,michalewicz,-9.877321724889525
ParticleSwarmOptimization,zakharov,437.9028318025449
ParticleSwarmOptimization,ackley,9.598862179349846
SelfOrganizingMigrationAlgorithm,sphere,33.7160822099601
SelfOrganizingMigrationAlgorithm,schwefel,11975.858895667245
SelfOrganizingMigrationAlgorithm,rosenbrock,211483.6130728293
SelfOrganizingMigrationAlgorithm,rastrigin,158.9096481709432
SelfOrganizingMigrationAlgorithm,griewank,1.6430399242071632
SelfOrganizingMigrationAlgorithm,levy,22.648484400985463
SelfOrganizingMigrationAlgorithm,michalewicz,-18.951217069384327
SelfOrganizingMigrationAlgorithm,zakharov,404.17295023726615
SelfOrganizingMigrationAlgorithm,ackley,16.983915762132888
TeachingLearningBasedOptimization,sphere,1.1674883694385354
TeachingLearningBasedOptimization,schwefel,12094.877011573633
TeachingLearningBasedOptimization,rosenbrock,528.8366217261193
TeachingLearningBasedOptimization,rastrigin,223.88954905222968
TeachingLearningBasedOptimization,griewank,1.0321903595204098
TeachingLearningBasedOptimization,levy,2.8894250307809166
TeachingLearningBasedOptimization,michalewicz,-8.87207564139735
TeachingLearningBasedOptimization,zakharov,718.9981119705558
TeachingLearningBasedOptimization,ackley,6.922078748982896

DifferentialEvolution,sphere,38.305876542630905
DifferentialEvolution,schwefel,11928.938834440578
DifferentialEvolution,rosenbrock,207002.49404543554
DifferentialEvolution,rastrigin,294.05874054653276
DifferentialEvolution,griewank,2.245072922844663
DifferentialEvolution,levy,83.14638923842847
DifferentialEvolution,michalewicz,-9.40578074917643
DifferentialEvolution,zakharov,902.1936245669494
DifferentialEvolution,ackley,17.437947501441272
FireflyAlgorithm,sphere,192.05085658603372
FireflyAlgorithm,schwefel,12424.908741912795
FireflyAlgorithm,rosenbrock,3785800.695022107
FireflyAlgorithm,rastrigin,429.1603602653441
FireflyAlgorithm,griewank,5.21913246487561
FireflyAlgorithm,levy,222.39231184138885
FireflyAlgorithm,michalewicz,-7.88438984145883
FireflyAlgorithm,zakharov,1169.4414538161175
FireflyAlgorithm,ackley,20.598107401572413
ParticleSwarmOptimization,sphere,2.2973539466417856
ParticleSwarmOptimization,schwefel,11891.925349528561
ParticleSwarmOptimization,rosenbrock,2619.448001716938
ParticleSwarmOptimization,rastrigin,110.79740645457846
ParticleSwarmOptimization,griewank,1.090877160378941
ParticleSwarmOptimization,levy,23.51696059192654
ParticleSwarmOptimization,michalewicz,-13.415400888833709
ParticleSwarmOptimization,zakharov,543.3143420302495
ParticleSwarmOptimization,ackley,7.729127037843211
SelfOrganizingMigrationAlgorithm,sphere,28.504245653914747
SelfOrganizingMigrationAlgorithm,schwefel,11934.825545045751
SelfOrganizingMigrationAlgorithm,rosenbrock,67292.22240788261
SelfOrganizingMigrationAlgorithm,rastrigin,115.48302557267527
SelfOrganizingMigrationAlgorithm,griewank,1.6447291072479608
SelfOrganizingMigrationAlgorithm,levy,21.60960845928522
SelfOrganizingMigrationAlgorithm,michalewicz,-19.04882141666203
SelfOrganizingMigrationAlgorithm,zakharov,255.17671349859896
SelfOrganizingMigrationAlgorithm,ackley,16.398489967281417
TeachingLearningBasedOptimization,sphere,1.316470566485047
TeachingLearningBasedOptimization,schwefel,11788.736921669433
TeachingLearningBasedOptimization,rosenbrock,681.9729496006577
TeachingLearningBasedOptimization,rastrigin,229.6393418054008
TeachingLearningBasedOptimization,griewank,1.0305586739958439
TeachingLearningBasedOptimization,levy,4.145578275666154
TeachingLearningBasedOptimization,michalewicz,-9.303760523041294
TeachingLearningBasedOptimization,zakharov,280.92216540744624
TeachingLearningBasedOptimization,ackley,6.6686981497369295

DifferentialEvolution,sphere,38.54753153669367
DifferentialEvolution,schwefel,11845.523602356323
DifferentialEvolution,rosenbrock,406320.7658897205
DifferentialEvolution,rastrigin,296.34689635507095
DifferentialEvolution,griewank,2.196160145059209
DifferentialEvolution,levy,94.29914140615024
DifferentialEvolution,michalewicz,-9.59167250910427
DifferentialEvolution,zakharov,1160.664092481465
DifferentialEvolution,ackley,19.00602976443186
FireflyAlgorithm,sphere,196.62920781377298
FireflyAlgorithm,schwefel,12404.823507785035
FireflyAlgorithm,rosenbrock,3132649.3443222814
FireflyAlgorithm,rastrigin,410.475867532761
FireflyAlgorithm,griewank,5.7857766159065
FireflyAlgorithm,levy,201.86524986116933
FireflyAlgorithm,michalewicz,-8.54631159306417
FireflyAlgorithm,zakharov,81187.00419151751
FireflyAlgorithm,ackley,20.540997711862545
ParticleSwarmOptimization,sphere,1.7604247989972222
ParticleSwarmOptimization,schwefel,11815.812734625588
ParticleSwarmOptimization,rosenbrock,2055.483449628959
ParticleSwarmOptimization,rastrigin,179.32662902341974
ParticleSwarmOptimization,griewank,1.068080758005044
ParticleSwarmOptimization,levy,20.25770651949872
ParticleSwarmOptimization,michalewicz,-13.284108035550643
ParticleSwarmOptimization,zakharov,426.52327843432425
ParticleSwarmOptimization,ackley,8.739517335459542
SelfOrganizingMigrationAlgorithm,sphere,27.563463936071532
SelfOrganizingMigrationAlgorithm,schwefel,11988.655712120944
SelfOrganizingMigrationAlgorithm,rosenbrock,130897.61747069069
SelfOrganizingMigrationAlgorithm,rastrigin,137.4435279103175
SelfOrganizingMigrationAlgorithm,griewank,1.6212294152919695
SelfOrganizingMigrationAlgorithm,levy,12.085585000284805
SelfOrganizingMigrationAlgorithm,michalewicz,-17.57908752507818
SelfOrganizingMigrationAlgorithm,zakharov,397.12063003789336
SelfOrganizingMigrationAlgorithm,ackley,14.657564704294685
TeachingLearningBasedOptimization,sphere,1.123191296426157
TeachingLearningBasedOptimization,schwefel,12030.510976344936
TeachingLearningBasedOptimization,rosenbrock,457.6528652939639
TeachingLearningBasedOptimization,rastrigin,220.36631580724645
TeachingLearningBasedOptimization,griewank,1.041847847634251
TeachingLearningBasedOptimization,levy,2.63589834888532
TeachingLearningBasedOptimization,michalewicz,-9.366835388402926
TeachingLearningBasedOptimization,zakharov,454.44020182019517
TeachingLearningBasedOptimization,ackley,6.262617520410156

DifferentialEvolution,sphere,42.27047488245515
DifferentialEvolution,schwefel,11940.225413490374
DifferentialEvolution,rosenbrock,243019.77093577548
DifferentialEvolution,rastrigin,296.47035507841224
DifferentialEvolution,griewank,1.7849367972630406
DifferentialEvolution,levy,109.60769327474192
DifferentialEvolution,michalewicz,-9.18005593296363
DifferentialEvolution,zakharov,984.7440148079015
DifferentialEvolution,ackley,19.317052468364825
FireflyAlgorithm,sphere,189.74108668090815
FireflyAlgorithm,schwefel,12377.997627144181
FireflyAlgorithm,rosenbrock,3375336.9451248203
FireflyAlgorithm,rastrigin,395.9462752294798
FireflyAlgorithm,griewank,5.389718734970912
FireflyAlgorithm,levy,278.3262780198703
FireflyAlgorithm,michalewicz,-8.389131380671246
FireflyAlgorithm,zakharov,1677.7582208338197
FireflyAlgorithm,ackley,20.5435442106207
ParticleSwarmOptimization,sphere,4.080871693256142
ParticleSwarmOptimization,schwefel,11808.480076575424
ParticleSwarmOptimization,rosenbrock,4974.768182996395
ParticleSwarmOptimization,rastrigin,151.85053057851562
ParticleSwarmOptimization,griewank,1.0274017381106275
ParticleSwarmOptimization,levy,12.987004395985421
ParticleSwarmOptimization,michalewicz,-9.364539760117825
ParticleSwarmOptimization,zakharov,564.6422715536548
ParticleSwarmOptimization,ackley,6.192870072060362
SelfOrganizingMigrationAlgorithm,sphere,21.841136727432254
SelfOrganizingMigrationAlgorithm,schwefel,12022.520977918608
SelfOrganizingMigrationAlgorithm,rosenbrock,183194.36339406032
SelfOrganizingMigrationAlgorithm,rastrigin,128.32037624550907
SelfOrganizingMigrationAlgorithm,griewank,1.7027260651518403
SelfOrganizingMigrationAlgorithm,levy,33.609342867724806
SelfOrganizingMigrationAlgorithm,michalewicz,-15.294031865586057
SelfOrganizingMigrationAlgorithm,zakharov,275.8490053140518
SelfOrganizingMigrationAlgorithm,ackley,15.711471897105323
TeachingLearningBasedOptimization,sphere,0.8495424820069606
TeachingLearningBasedOptimization,schwefel,12101.950884316842
TeachingLearningBasedOptimization,rosenbrock,2335.128007841594
TeachingLearningBasedOptimization,rastrigin,238.74525842098942
TeachingLearningBasedOptimization,griewank,1.0349859792424836
TeachingLearningBasedOptimization,levy,3.6106525568151167
TeachingLearningBasedOptimization,michalewicz,-13.157683743192464
TeachingLearningBasedOptimization,zakharov,401.2967178974004
TeachingLearningBasedOptimization,ackley,7.300926888457745

DifferentialEvolution,sphere,42.707267867405626
DifferentialEvolution,schwefel,11909.375379511113
DifferentialEvolution,rosenbrock,634983.5609245044
DifferentialEvolution,rastrigin,316.42925685049636
DifferentialEvolution,griewank,2.389511763981514
DifferentialEvolution,levy,79.87358718611087
DifferentialEvolution,michalewicz,-8.83994286545053
DifferentialEvolution,zakharov,954.5051341889414
DifferentialEvolution,ackley,18.39836609150081
FireflyAlgorithm,sphere,161.58132336551665
FireflyAlgorithm,schwefel,12408.489823171156
FireflyAlgorithm,rosenbrock,2232520.8769578245
FireflyAlgorithm,rastrigin,427.52117384126603
FireflyAlgorithm,griewank,5.088898173931617
FireflyAlgorithm,levy,211.04703920524074
FireflyAlgorithm,michalewicz,-8.000141863514843
FireflyAlgorithm,zakharov,1764.2783741493326
FireflyAlgorithm,ackley,20.702612282854876
ParticleSwarmOptimization,sphere,2.5272981861831814
ParticleSwarmOptimization,schwefel,11797.92459565388
ParticleSwarmOptimization,rosenbrock,2128.1906087265515
ParticleSwarmOptimization,rastrigin,223.2622361739143
ParticleSwarmOptimization,griewank,1.045176557541215
ParticleSwarmOptimization,levy,10.76433786722333
ParticleSwarmOptimization,michalewicz,-12.675143091558141
ParticleSwarmOptimization,zakharov,484.71650517527854
ParticleSwarmOptimization,ackley,6.598880994598542
SelfOrganizingMigrationAlgorithm,sphere,24.405846101718687
SelfOrganizingMigrationAlgorithm,schwefel,11960.496505266347
SelfOrganizingMigrationAlgorithm,rosenbrock,70336.43753375315
SelfOrganizingMigrationAlgorithm,rastrigin,139.87868936229444
SelfOrganizingMigrationAlgorithm,griewank,1.4799579171524488
SelfOrganizingMigrationAlgorithm,levy,22.545089774563532
SelfOrganizingMigrationAlgorithm,michalewicz,-18.60410267159618
SelfOrganizingMigrationAlgorithm,zakharov,415.4565297682704
SelfOrganizingMigrationAlgorithm,ackley,14.918341639335713
TeachingLearningBasedOptimization,sphere,0.9498056808358875
TeachingLearningBasedOptimization,schwefel,12157.787735884296
TeachingLearningBasedOptimization,rosenbrock,399.1346833759475
TeachingLearningBasedOptimization,rastrigin,195.85350761768296
TeachingLearningBasedOptimization,griewank,1.029351167976114
TeachingLearningBasedOptimization,levy,2.791523414015955
TeachingLearningBasedOptimization,michalewicz,-9.169373222811794
TeachingLearningBasedOptimization,zakharov,462.0709813046984
